Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-02-11,13.21,13.85,13.19,13.57,12.55841,26678000,0
2013-02-12,13.55,13.66,13.44,13.51,12.502882,14440700,1
2013-02-13,13.51,13.74,13.4,13.73,12.706481,18115400,2
2013-02-14,13.66,14.07,13.64,14,12.956354,26297600,3
2013-02-15,14.06,14.52,14,14.37,13.298771,13936900,4
2013-02-19,14.38,14.65,13.98,14.63,13.539392,15248700,5
2013-02-20,14.56,14.62,14.2,14.24,13.178464,13828500,6
2013-02-21,14.24,14.4,14.14,14.28,13.215481,10725700,7
2013-02-22,14.31,14.56,14.23,14.51,13.428335,8591700,8
2013-02-25,14.5,14.7,14.32,14.33,13.261754,7976900,9
2013-02-26,14.32,14.41,14.08,14.18,13.122936,11966800,10
2013-02-27,14.21,14.4,14.03,14.26,13.196973,11665400,11
2013-02-28,14.27,14.54,14.25,14.3,13.233991,7461400,12
2013-03-01,14.26,14.38,14.04,14.35,13.280263,4564900,13
2013-03-04,14.3,14.48,14.22,14.37,13.298771,3956600,14
2013-03-05,14.45,14.58,14.38,14.57,13.483862,4901500,15
2013-03-06,14.6,14.82,14.55,14.65,13.557899,8826000,16
2013-03-07,14.64,15.01,14.59,14.97,13.854045,11065200,17
2013-03-08,14.95,14.95,14.67,14.84,13.733735,4701300,18
2013-03-11,14.78,14.85,14.69,14.82,13.715224,5364200,19
2013-03-12,14.8,14.88,14.69,14.86,13.752245,5648500,20
2013-03-13,14.91,15.05,14.81,14.98,13.863297,6656000,21
2013-03-14,15.08,15.08,14.86,15.03,13.909571,4185200,22
2013-03-15,15,15.02,14.57,14.65,13.557899,12516900,23
2013-03-18,14.36,14.54,14.2,14.37,13.473514,7492300,24
2013-03-19,14.37,14.41,13.97,14.01,13.135974,10076100,25
2013-03-20,14.19,14.3,14.03,14.22,13.332871,9771700,26
2013-03-21,14.17,14.3,14.06,14.06,13.182856,8257600,27
2013-03-22,14.14,14.42,14.07,14.34,13.445385,8200200,28
2013-03-25,14.32,14.43,14.16,14.35,13.454762,3784400,29
2013-03-26,14.36,14.51,14.23,14.46,13.557899,3214300,30
2013-03-27,14.36,14.53,14.21,14.48,13.57665,5114100,31
2013-03-28,14.41,14.58,14.3,14.57,13.661036,3323900,32
2013-04-01,14.53,14.61,14.35,14.44,13.539145,2651300,33
2013-04-02,14.64,14.8,14.44,14.73,13.811055,5013400,34
2013-04-03,14.71,14.8,14.46,14.53,13.623531,4101500,35
2013-04-04,14.58,14.58,14.27,14.52,13.614155,3422500,36
2013-04-05,14.31,14.46,14.14,14.43,13.52977,3453900,37
2013-04-08,14.43,14.68,14.39,14.66,13.745422,3719400,38
2013-04-09,14.67,14.79,14.49,14.67,13.754799,4697000,39
2013-04-10,14.66,15,14.63,14.88,13.951696,4660300,40
2013-04-11,14.93,14.93,14.64,14.7,13.782927,6068600,41
2013-04-12,14.77,14.79,14.59,14.66,13.745422,3825900,42
2013-04-15,14.64,14.65,14.27,14.28,13.389129,6302200,43
2013-04-16,14.34,14.51,14.32,14.43,13.52977,8874200,44
2013-04-17,14.28,14.42,14.12,14.18,13.295367,6337000,45
2013-04-18,14.26,14.27,14.03,14.12,13.23911,4159200,46
2013-04-19,14.06,14.32,13.88,14.26,13.370377,4864200,47
2013-04-22,14.34,14.53,14.19,14.48,13.57665,3161400,48
2013-04-23,14.5,14.65,14.32,14.58,13.670412,6436300,49
2013-04-24,14.58,14.85,14.58,14.7,13.782927,5158700,50
2013-04-25,14.76,14.89,14.65,14.71,13.792304,7780400,51
2013-04-26,14.75,14.86,14.67,14.82,13.895439,5989900,52
2013-04-29,14.81,15.07,14.78,14.93,13.998577,7122700,53
2013-04-30,14.97,15.02,14.82,14.96,14.026706,7853100,54
2013-05-01,14.95,14.98,14.64,14.74,13.820431,4524900,55
2013-05-02,14.75,14.94,14.66,14.85,13.923569,3852700,56
2013-05-03,15,15.23,14.88,15.18,14.232982,4865100,57
2013-05-06,15.21,15.33,14.84,14.88,13.951696,6428900,58
2013-05-07,14.94,15.04,14.84,14.94,14.007953,5050100,59
2013-05-08,15.01,15.4,15,15.26,14.30799,8863300,60
