Date,Open,High,Low,Close,Adj Close,Volume,Day 
2018-02-20,38.5,39.349998,38.049999,38.75,38.75,175700,0
2018-02-21,38.799999,39.5,38.700001,38.799999,38.799999,115300,1
2018-02-22,38.849998,38.950001,38.349998,38.450001,38.450001,84700,2
2018-02-23,38.650002,39.450001,38.450001,39.400002,39.400002,125500,3
2018-02-26,39.349998,40.5,39.099998,40.200001,40.200001,178800,4
2018-02-27,40.25,40.650002,38.599998,38.650002,38.650002,239300,5
2018-02-28,41.049999,41.049999,37.549999,37.549999,37.549999,476800,6
2018-03-01,37.5,37.5,35.599998,36.599998,36.599998,491900,7
2018-03-02,36.349998,37.5,36.099998,36.549999,36.549999,274900,8
2018-03-05,36.400002,37,36.150002,36.75,36.75,250200,9
2018-03-06,36.849998,36.950001,36.349998,36.950001,36.950001,221500,10
2018-03-07,36.450001,36.900002,36.200001,36.549999,36.549999,220700,11
2018-03-08,36.650002,36.650002,36,36.099998,36.099998,229600,12
2018-03-09,36.299999,36.849998,36.099998,36.799999,36.799999,120000,13
2018-03-12,36.799999,37.25,36.599998,36.799999,36.799999,118900,14
2018-03-13,37,37.599998,36.950001,37.349998,37.349998,150700,15
2018-03-14,37.400002,37.900002,37.150002,37.700001,37.700001,156300,16
2018-03-15,37.650002,37.849998,37.375,37.650002,37.650002,637000,17
2018-03-16,37.700001,38.099998,37.5,38,38,956300,18
2018-03-19,37.799999,37.900002,35.25,37.849998,37.849998,208700,19
2018-03-20,37.799999,38.099998,36.875,37.299999,37.299999,247800,20
2018-03-21,37.299999,38.099998,37.299999,37.349998,37.349998,406000,21
2018-03-22,36.900002,37.700001,36.5,36.5,36.5,147700,22
2018-03-23,36.5,36.5,34.650002,34.700001,34.700001,505100,23
2018-03-26,35.150002,35.599998,34.255001,35,35,413700,24
2018-03-27,35.099998,35.099998,34.549999,34.75,34.75,326200,25
2018-03-28,34.849998,35,34.099998,34.349998,34.349998,153900,26
2018-03-29,34.349998,35,34.299999,34.900002,34.900002,449900,27
2018-04-02,34.900002,35.25,34.349998,34.400002,34.400002,326800,28
2018-04-03,34.549999,34.849998,34.25,34.5,34.5,217000,29
2018-04-04,34.200001,34.599998,34.049999,34.5,34.5,608700,30
2018-04-05,34.700001,35,34.474998,34.650002,34.650002,765000,31
2018-04-06,34.5,34.900002,34.099998,34.549999,34.549999,403000,32
2018-04-09,34.75,35.299999,34.450001,34.950001,34.950001,230500,33
2018-04-10,35.450001,35.450001,34.849998,34.900002,34.900002,154000,34
2018-04-11,34.700001,35.150002,34.700001,34.900002,34.900002,159000,35
2018-04-12,35.049999,35.650002,35,35.450001,35.450001,188800,36
2018-04-13,35.650002,35.650002,35.099998,35.200001,35.200001,264300,37
2018-04-16,35.349998,35.575001,35.049999,35.299999,35.299999,124500,38
2018-04-17,35.549999,35.799999,35.049999,35.200001,35.200001,246600,39
2018-04-18,35.400002,36,35.25,35.849998,35.849998,306600,40
2018-04-19,35.799999,35.849998,34.888,35,35,150300,41
2018-04-20,34.849998,35.150002,34.150002,35.049999,35.049999,178600,42
2018-04-23,35,35.549999,34.950001,35.049999,35.049999,467300,43
2018-04-24,35.200001,35.299999,34.549999,34.75,34.75,108500,44
2018-04-25,34.700001,34.849998,34.200001,34.25,34.25,128200,45
2018-04-26,34.400002,35.900002,33.900002,34.099998,34.099998,125500,46
2018-04-27,34.150002,34.200001,33.700001,33.700001,33.700001,129100,47
2018-04-30,33.849998,34.049999,33.200001,33.25,33.25,217200,48
2018-05-01,34.299999,35.75,34.299999,35.599998,35.599998,767300,49
2018-05-02,35.700001,36.25,35.700001,35.900002,35.900002,234200,50
